Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades nº,Ar Cond.,Direção Assistida,Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro,,,,Consumo Energético (MJ/km),Classificação PBE,,Selo CONPET de Eficiência Energética
COMPACTO,FORD,KA hatch (2019),1.0­12V,SE Plus,M­5,S,E,F,0,1,0,B,0,92,"9,2","10,7","13,4","15,5","1,51",A,B,SIM
COMPACTO,FORD,KA hatch (2019),1.5­12V,SE,M­5,S,E,F,0,0,0,B,0,98,"8,4","10,3","12,5","15,0","1,61",B,B,­
COMPACTO,FORD,KA hatch (2019),1.5­12V,SE Plus,M­5,S,E,F,0,0,0,B,0,98,"8,4","10,3","12,5","15,0","1,61",B,B,­
COMPACTO,FORD,KA hatch (2019),1.5­12V,SE,A­6,S,E,F,0,0,0,B,0,109,"7,8","10,1","11,0","14,2","1,76",C,B,­
COMPACTO,FORD,KA hatch (2019),1.5­12V,SE Plus,A­6,S,E,F,0,0,0,B,0,109,"7,8","10,1","11,0","14,2","1,76",C,B,­
COMPACTO,FORD,KA hatch (2019),1.5­12V,Titanium,A­6,S,E,F,0,1,0,B,0,110,"7,6","10,1","10,9","14,0","1,78",D,B,­
COMPACTO,FORD,New Fiesta Hatch,1.0­12V,SEL GTDI,DCT­6,S,E,G,0,0,0,A,\,101,\,\,"12,1","14,9","1,63",B,B,­
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,SE,M­5,S,E,F,0,1,0,B,0,101,"8,2","10,0","12,0","14,6","1,66",B,B,­
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,SEL,M­5,S,E,F,0,1,0,B,0,101,"8,2","10,0","12,0","14,6","1,66",B,B,­
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,SE,DCT­6,S,E,F,0,0,0,A,0,106,"7,8","10,3","11,2","14,9","1,72",C,B,­
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,SEL,DCT­6,S,E,F,0,0,0,A,0,106,"7,8","10,3","11,2","14,9","1,72",C,B,­
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,Titanium,DCT­6,S,E,F,0,0,0,A,0,106,"7,8","10,3","11,2","14,9","1,72",C,B,­
COMPACTO,HONDA,Fit,1.5­16V,DX,M­5,S,E,F,0,0,0,A,0,107,"8,3","9,5","11,6","13,6","1,72",C,B,­
COMPACTO,HONDA,Fit,1.5­16V,LX,M­5,S,E,F,0,0,0,A,0,107,"8,3","9,5","11,6","13,6","1,72",C,B,­
COMPACTO,HONDA,Fit,1.5­16V,DX,CVT,S,E,F,0,0,0,B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­
COMPACTO,HONDA,Fit,1.5­16V,LX,CVT,S,E,F,0,0,0,B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­
COMPACTO,HONDA,Fit,1.5­16V,EX,CVT,S,E,F,0,0,0,B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­
COMPACTO,HONDA,Fit,1.5­16V,EXL,CVT,S,E,F,0,0,0,B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­
COMPACTO,HONDA,Fit,1.5­16V,PERSONAL,CVT,S,E,F,0,0,0,B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­
COMPACTO,HYUNDAI,HB20,1.0­12V,Comfort,M­5,S,H,F,0,0,0,A,0,101,"8,5","9,9","12,5","14,1","1,64",B,B,­
COMPACTO,HYUNDAI,HB20,1.0­12V,Plus,M­5,S,H,F,0,0,0,A,0,101,"8,5","9,9","12,5","14,1","1,64",B,B,­
COMPACTO,HYUNDAI,HB20,1.0­12V,Style,M­5,S,H,F,0,0,0,A,0,101,"8,5","9,9","12,5","14,1","1,64",B,B,­
COMPACTO,HYUNDAI,HB20,1.6­16V,Plus,M­6,S,H,F,0,1,0,B,0,107,"8,1","9,9","11,6","13,8","1,72",C,B,­
COMPACTO,HYUNDAI,HB20,1.6­16V,Style,M­6,S,H,F,0,1,0,B,0,107,"8,1","9,9","11,6","13,8","1,72",C,B,­
COMPACTO,HYUNDAI,HB20,1.6­16V,Plus,A­6,S,H,F,0,0,0,B,0,121,"7,1","9,4","9,9","12,5","1,95",E,C,­
COMPACTO,HYUNDAI,HB20,1.6­16V,Style,A­6,S,H,F,0,0,0,B,0,121,"7,1","9,4","9,9","12,5","1,95",E,C,­
COMPACTO,HYUNDAI,HB20,1.0­12V,Plus,M­6,S,H,F,0,0,0,A,0,105,"8,2","10,1","11,6","14,3","1,69",C,B,­
COMPACTO,HYUNDAI,HB20,1.0­12V,Style,M­6,S,H,F,0,0,0,A,0,105,"8,2","10,1","11,6","14,3","1,69",C,B,­
COMPACTO,MINI,Cooper,1.5­12V,­,A­6,S,E­H,G,0,0,0,A,\,106,\,\,"11,6","13,9","1,73",C,B,­
COMPACTO,MINI,Cooper,1.5­12V,5P,A­6,S,E­H,G,0,0,0,B,\,110,\,\,"11,1","13,7","1,79",D,B,­
COMPACTO,MINI,Cooper,2.0­16V,S 5P,A­6,S,E­H,G,0,0,0,B,\,107,\,\,"11,3","14,1","1,75",C,B,­
COMPACTO,MINI,Cooper,1.5­12V,­,DCT­7,S,E­H,G,0,0,0,A,\,106,\,\,"12,1","13,3","1,71",C,B,­
COMPACTO,MINI,Cooper,1.5­12V,5P,DCT­7,S,E­H,G,0,0,0,A,\,105,\,\,"12,1","13,5","1,70",C,B,­
COMPACTO,MINI,Cooper,2.0­16V,S 5P,DCT­7,S,E­H,G,0,0,0,A,\,105,\,\,"11,6","14,3","1,71",C,B,­
COMPACTO,NISSAN,New March,1.0­12V,10 Conforto,M­5,S,E,F,0,1,0,B,0,96,"8,8","10,5","12,9","15,0","1,57",A,B,SIM
COMPACTO,NISSAN,New March,1.0­12V,10 S,M­5,S,E,F,0,1,0,B,0,96,"8,8","10,5","12,9","15,0","1,57",A,B,SIM
COMPACTO,NISSAN,New March,1.0­12V,10 SV,M­5,S,E,F,0,1,0,B,0,96,"8,8","10,5","12,9","15,0","1,57",A,B,SIM
COMPACTO,NISSAN,New March,1.6­16V,16 S,M­5,S,E,F,0,1,0,B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,­
COMPACTO,NISSAN,New March,1.6­16V,16 SV,M­5,S,E,F,0,1,0,B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,­
COMPACTO,NISSAN,New March,1.6­16V,16 SL,M­5,S,E,F,0,1,0,B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,­
COMPACTO,NISSAN,New March,1.6­16V,16 SV,CVT,S,E,F,0,0,0,B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,­
COMPACTO,NISSAN,New March,1.6­16V,16 SL,CVT,S,E,F,0,0,0,B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,­
COMPACTO,PEUGEOT,208,1.6­16V,Sport MT,M­5,S,E,F,0,1,0,B,0,102,"8,5","10,0","12,3","14,0","1,65",B,B,­
COMPACTO,PEUGEOT,208,1.6­16V,Griffe MT,M­5,S,E,F,0,1,0,B,0,102,"8,5","10,0","12,3","14,0","1,65",B,B,­
COMPACTO,PEUGEOT,208,1.6­16V,GRIFFE EAT6,A­6,S,E,F,0,0,0,B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,­
COMPACTO,PEUGEOT,208,1.6­16V,ALLURE EAT6,A­6,S,E,F,0,0,0,B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,­
COMPACTO,PEUGEOT,208,1.6­16V,UBTECH EAT6,A­6,S,E,F,0,0,0,B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,­
COMPACTO,PEUGEOT,208,1.2,Active MT,M­5,S,E,F,0,0,0,B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM
COMPACTO,PEUGEOT,208,1.2,Act Pack MT,M­5,S,E,F,0,0,0,B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM
COMPACTO,PEUGEOT,208,1.2,Allure MT,M­5,S,E,F,0,0,0,B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM
COMPACTO,PEUGEOT,208,1.6 THP 16V Flex,GT,M­6,S,E,F,0,0,0,A,0,104,"8,2","9,5","12,0","13,8","1,70",C,B,­
COMPACTO,RENAULT,Sandero,1.0­12V,Authentique,M­5,S,E­H,F,0,0,0,B,0,93,"9,5","9,6","14,2","14,1","1,52",A,B,SIM
COMPACTO,RENAULT,Sandero,1.0­12V,Expression,M­5,S,E­H,F,0,0,0,B,0,93,"9,5","9,6","14,2","14,1","1,52",A,B,SIM
COMPACTO,RENAULT,Sandero,1.6­16V,Dynamique,M­5,S,E­H,F,0,0,0,B,0,102,"8,6","9,2","12,8","13,4","1,66",B,B,­
COMPACTO,RENAULT,Sandero,1.6­16V,Expression,M­5,S,E­H,F,0,0,0,B,0,102,"8,6","9,2","12,8","13,4","1,66",B,B,­
COMPACTO,RENAULT,Sandero,1.6­16V,Expression,MTA­5,S,E­H,F,0,0,0,B,0,108,"8,1","8,8","11,8","12,8","1,77",D,B,­
COMPACTO,RENAULT,Sandero,1.6­16V,Dynamique,MTA­5,S,E­H,F,0,0,0,B,0,108,"8,1","8,8","11,8","12,8","1,77",D,B,­
COMPACTO,RENAULT,Sandero,1.6­16V,GT Line,M­5,S,E­H,F,0,0,0,B,0,104,"8,4","8,9","12,5","13,0","1,71",C,B,­
COMPACTO,RENAULT,Sandero RS,2.0­16V,"2,0 RS",M­6,S,E­H,F,0,0,0,C,0,129,"6,9","7,7","9,9","11,1","2,10",E,C,­
COMPACTO,TOYOTA,Etios Hatchbach,1.3­16V,X,M­6,S,E,F,0,1,0,B,0,100,"8,6","9,8","12,6","14,2","1,63",B,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.3­16V,X,A­4,S,E,F,0,1,0,B,0,107,"8,2","9,2","11,8","13,3","1,74",C,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,XS,M­6,S,E,F,0,1,0,B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,XLS,M­6,S,E,F,0,1,0,B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,XPLUS,M­6,S,E,F,0,1,0,B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,PLATINUM,M­6,S,E,F,0,1,0,B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,CROSS,M­6,S,E,F,0,1,0,B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,XS,A­4,S,E,F,0,1,0,B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,XLS,A­4,S,E,F,0,1,0,B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,XPLUS,A­4,S,E,F,0,1,0,B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,PLATINUM,A­4,S,E,F,0,1,0,B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,CROSS,A­4,S,E,F,0,1,0,B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­
COMPACTO,TOYOTA,Etios Hatchbach,1.5­16V,READY,A­4,S,E,F,0,1,0,B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­
COMPACTO,VOLKSWAGEN,Gol,1.0­12V,Trendline,M­5,S,H,F,0,0,0,B,0,95,"8,9","10,4","13,1","14,9","1,56",A,B,SIM
COMPACTO,VOLKSWAGEN,Gol,1.0­12V,City,M­5,S,H,F,0,0,0,B,0,95,"8,9","10,4","13,1","14,9","1,56",A,B,SIM
COMPACTO,VOLKSWAGEN,Gol,1.0­12V,Track,M­5,S,H,F,0,0,0,B,0,99,"8,6","10,0","12,7","14,3","1,61",B,B,­
