cod;nome;período;valor
15;PA;2002;18.47
24;RN;2002;10.48
52;GO;2002;26.29
51;MT;2002;36.4
50;MS;2002;31.95
43;RS;2002;18.37
42;SC;2002;10.58
41;PR;2002;23.13
35;SP;2002;38.05
11;RO;2002;42.95
12;AC;2002;25.73
13;AM;2002;17.32
14;RR;2002;35.17
16;AP;2002;35.04
17;TO;2002;14.08
22;PI;2002;10.63
25;PB;2003;17.51
33;RJ;2003;54.54
35;SP;2003;36.29
41;PR;2003;25.79
42;SC;2003;11.95
43;RS;2003;18.15
50;MS;2003;32.49
51;MT;2003;34.25
52;GO;2003;25.37
53;DF;2003;33.88
11;RO;2003;38.88
12;AC;2003;24.48
13;AM;2003;18.41
14;RR;2003;29.67
16;AP;2003;34.59
17;TO;2003;16.58
21;MA;2003;13.54
22;PI;2003;10.19
23;CE;2003;20.15
24;RN;2003;14.02
26;PE;2003;55.34
15;PA;2003;21.37
27;AL;2003;35.61
28;SE;2003;25.02
29;BA;2003;16.12
31;MG;2003;20.85
32;ES;2003;50.12
25;PB;2004;19.06
27;AL;2004;35.11
28;SE;2004;23.86
29;BA;2004;16.69
31;MG;2004;22.84
33;RJ;2004;51.43
35;SP;2004;28.89
41;PR;2004;28.22
42;SC;2004;11.22
43;RS;2004;18.67
24;RN;2004;11.77
23;CE;2004;20.12
22;PI;2004;11.09
21;MA;2004;12.32
17;TO;2004;15.8
16;AP;2004;31.1
15;PA;2004;22.69
50;MS;2004;29.84
51;MT;2004;31.62
52;GO;2004;28.21
53;DF;2004;31.16
32;ES;2004;49.08
26;PE;2004;50.66
14;RR;2004;23.12
13;AM;2004;16.97
12;AC;2004;18.56
11;RO;2004;38.04
16;AP;2005;32.96
27;AL;2005;39.89
43;RS;2005;18.64
11;RO;2005;36.17
12;AC;2005;18.51
13;AM;2005;18.53
14;RR;2005;24.28
15;PA;2005;27.63
17;TO;2005;14.55
21;MA;2005;15.32
22;PI;2005;12.24
23;CE;2005;20.98
24;RN;2005;13.52
25;PB;2005;20.72
26;PE;2005;51.46
28;SE;2005;24.75
29;BA;2005;20.85
31;MG;2005;21.95
32;ES;2005;47
33;RJ;2005;48.16
35;SP;2005;21.93
41;PR;2005;29.01
42;SC;2005;10.79
50;MS;2005;27.87
51;MT;2005;32.36
52;GO;2005;26.12
53;DF;2005;28.16
12;AC;2006;23.01
14;RR;2006;27.52
15;PA;2006;29.15
31;MG;2006;21.44
32;ES;2006;50.86
33;RJ;2006;47.48
35;SP;2006;20.4
41;PR;2006;29.82
42;SC;2006;11.18
43;RS;2006;18.09
50;MS;2006;29.72
51;MT;2006;31.36
53;DF;2006;27.69
52;GO;2006;26.33
13;AM;2006;21.11
16;AP;2006;32.81
17;TO;2006;17.19
21;MA;2006;15.67
22;PI;2006;13.77
23;CE;2006;21.81
29;BA;2006;23.73
24;RN;2006;14.95
25;PB;2006;22.77
26;PE;2006;52.6
27;AL;2006;53.1
28;SE;2006;29.24
11;RO;2006;37.44
14;RR;2007;27.93
11;RO;2007;27.17
12;AC;2007;19.48
15;PA;2007;30.27
16;AP;2007;27.02
17;TO;2007;16.63
21;MA;2007;17.99
22;PI;2007;12.49
23;CE;2007;23.19
24;RN;2007;19.1
25;PB;2007;23.67
26;PE;2007;53.04
27;AL;2007;59.51
28;SE;2007;25.67
29;BA;2007;25.98
31;MG;2007;20.92
32;ES;2007;53.33
33;RJ;2007;41.62
35;SP;2007;15.45
41;PR;2007;29.54
43;RS;2007;19.85
50;MS;2007;30.46
51;MT;2007;30.55
52;GO;2007;26.04
53;DF;2007;29.21
42;SC;2007;10.45
13;AM;2007;21.1
33;RJ;2008;35.67
35;SP;2008;15.44
42;SC;2008;13.25
43;RS;2008;21.92
41;PR;2008;32.53
53;DF;2008;31.75
52;GO;2008;30.66
51;MT;2008;31.68
50;MS;2008;29.92
11;RO;2008;32.14
12;AC;2008;19.56
13;AM;2008;24.84
14;RR;2008;25.44
15;PA;2008;39.06
16;AP;2008;34.25
17;TO;2008;18.51
21;MA;2008;20.25
22;PI;2008;11.57
23;CE;2008;23.89
24;RN;2008;22.98
25;PB;2008;27.49
26;PE;2008;50.9
27;AL;2008;60.33
28;SE;2008;27.76
29;BA;2008;33.23
31;MG;2008;19.59
32;ES;2008;56.38
17;TO;2009;22.37
50;MS;2009;30.71
33;RJ;2009;33.51
28;SE;2009;32.33
11;RO;2009;35.77
12;AC;2009;22.14
13;AM;2009;26.99
14;RR;2009;28
15;PA;2009;40.22
16;AP;2009;30.32
21;MA;2009;21.96
22;PI;2009;12.24
23;CE;2009;25.33
24;RN;2009;25.5
25;PB;2009;33.5
26;PE;2009;44.98
27;AL;2009;59.35
29;BA;2009;37.11
31;MG;2009;18.68
32;ES;2009;56.92
35;SP;2009;15.84
41;PR;2009;34.61
42;SC;2009;13.4
43;RS;2009;20.54
51;MT;2009;33.31
52;GO;2009;32.09
53;DF;2009;33.83
21;MA;2010;23.1
11;RO;2010;34.95
12;AC;2010;22.49
13;AM;2010;31.06
14;RR;2010;26.86
15;PA;2010;46.44
16;AP;2010;38.83
17;TO;2010;23.64
22;PI;2010;13.18
23;CE;2010;31.8
24;RN;2010;25.57
25;PB;2010;38.63
26;PE;2010;39.48
27;AL;2010;66.88
28;SE;2010;32.69
29;BA;2010;41.69
31;MG;2010;18.6
32;ES;2010;50.98
35;SP;2010;14.64
41;PR;2010;34.33
42;SC;2010;13.17
43;RS;2010;19.5
50;MS;2010;26.79
51;MT;2010;32.03
52;GO;2010;32.96
53;DF;2010;30.58
33;RJ;2010;35.44
27;AL;2011;71.39
35;SP;2011;14.05
41;PR;2011;32.11
42;SC;2011;12.84
43;RS;2011;19.35
28;SE;2011;34.98
29;BA;2011;39.36
31;MG;2011;21.6
52;GO;2011;37.36
53;DF;2011;34.56
51;MT;2011;32.8
32;ES;2011;47.14
33;RJ;2011;29.67
11;RO;2011;28.55
12;AC;2011;21.97
13;AM;2011;36.51
14;RR;2011;20.64
15;PA;2011;39.97
16;AP;2011;30.54
50;MS;2011;27.16
17;TO;2011;25.77
21;MA;2011;23.94
22;PI;2011;14.01
23;CE;2011;32.73
24;RN;2011;32.95
25;PB;2011;42.57
26;PE;2011;39.15
51;MT;2012;34.47
11;RO;2012;33.08
12;AC;2012;27.41
13;AM;2012;37.43
14;RR;2012;30.67
15;PA;2012;41.37
16;AP;2012;36.22
17;TO;2012;26.73
21;MA;2012;26.47
22;PI;2012;16.61
23;CE;2012;44.63
24;RN;2012;34.82
25;PB;2012;39.97
26;PE;2012;37.25
27;AL;2012;64.63
28;SE;2012;41.64
29;BA;2012;43.37
31;MG;2012;22.98
32;ES;2012;46.59
33;RJ;2012;29.4
35;SP;2012;15.67
41;PR;2012;32.98
42;SC;2012;12.86
43;RS;2012;22.12
50;MS;2012;27.26
52;GO;2012;45.38
53;DF;2012;36.02
12;AC;2013;30.14
11;RO;2013;27.95
13;AM;2013;31.28
14;RR;2013;43.85
16;AP;2013;30.61
17;TO;2013;23.61
21;MA;2013;31.84
22;PI;2013;18.78
23;CE;2013;50.95
24;RN;2013;42.89
25;PB;2013;39.62
26;PE;2013;33.92
27;AL;2013;65.07
15;PA;2013;42.72
28;SE;2013;43.95
29;BA;2013;37.85
31;MG;2013;22.91
32;ES;2013;42.25
33;RJ;2013;31.22
35;SP;2013;13.82
41;PR;2013;26.7
42;SC;2013;11.89
43;RS;2013;20.8
50;MS;2013;24.35
51;MT;2013;36.39
52;GO;2013;46.24
53;DF;2013;30
11;RO;2014;33.06
12;AC;2014;29.36
13;AM;2014;32.01
14;RR;2014;31.79
15;PA;2014;42.68
16;AP;2014;34.09
17;TO;2014;25.45
21;MA;2014;35.94
22;PI;2014;22.45
23;CE;2014;52.31
24;RN;2014;47
25;PB;2014;39.33
26;PE;2014;36.19
27;AL;2014;62.78
28;SE;2014;49.42
29;BA;2014;40.01
31;MG;2014;22.78
32;ES;2014;41.42
33;RJ;2014;34.74
35;SP;2014;14.05
41;PR;2014;26.89
42;SC;2014;13.45
43;RS;2014;24.31
50;MS;2014;26.72
51;MT;2014;42.12
52;GO;2014;44.26
53;DF;2014;29.55
27;AL;2015;52.33
11;RO;2015;33.93
12;AC;2015;27.01
13;AM;2015;37.38
14;RR;2015;40.15
15;PA;2015;44.95
16;AP;2015;38.22
17;TO;2015;33.2
21;MA;2015;35.31
22;PI;2015;20.29
23;CE;2015;46.75
24;RN;2015;44.88
25;PB;2015;38.32
26;PE;2015;41.16
28;SE;2015;58.09
29;BA;2015;39.54
31;MG;2015;21.72
32;ES;2015;36.9
33;RJ;2015;30.62
35;SP;2015;12.22
41;PR;2015;26.3
42;SC;2015;14.03
43;RS;2015;26.17
50;MS;2015;23.91
51;MT;2015;36.84
52;GO;2015;45.34
53;DF;2015;25.46
11;RO;2016;39.33
12;AC;2016;44.45
13;AM;2016;36.28
14;RR;2016;39.67
15;PA;2016;50.85
16;AP;2016;48.7
17;TO;2016;37.64
21;MA;2016;34.63
22;PI;2016;21.82
23;CE;2016;40.63
24;RN;2016;53.35
25;PB;2016;33.88
26;PE;2016;47.26
27;AL;2016;54.18
28;SE;2016;64.66
29;BA;2016;46.94
31;MG;2016;22.01
32;ES;2016;31.96
33;RJ;2016;36.38
35;SP;2016;10.88
41;PR;2016;27.4
42;SC;2016;14.24
43;RS;2016;28.57
50;MS;2016;25.02
51;MT;2016;35.7
52;GO;2016;45.34
53;DF;2016;25.53
11;RO;2017;30.68
14;RR;2017;47.45
15;PA;2017;54.68
53;DF;2017;20.07
52;GO;2017;42.8
51;MT;2017;32.95
50;MS;2017;24.29
43;RS;2017;29.29
42;SC;2017;15.23
41;PR;2017;24.37
35;SP;2017;10.27
33;RJ;2017;38.38
32;ES;2017;37.87
25;PB;2017;33.31
27;AL;2017;53.71
31;MG;2017;20.36
26;PE;2017;57.2
16;AP;2017;48.01
17;TO;2017;35.93
21;MA;2017;31.14
22;PI;2017;19.45
23;CE;2017;60.23
24;RN;2017;62.82
13;AM;2017;41.19
12;AC;2017;62.2
29;BA;2017;48.79
28;SE;2017;57.38
