;All groups of offences;All groups of offences;¬ Property theft;¬ Property theft;¬ Violence and maltreatment;¬ Violence and maltreatment;¬ Drug and alcohol offences;¬ Drug and alcohol offences;¬ Public order and integrity violations;¬ Public order and integrity violations;¬ Traffic offences;¬ Traffic offences;¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);
Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;
2017-2018;;;;;;;;;;;;;;;
Vest-Agder;11338;60.8;3402;18.2;1512;8.1;1676;9.0;1357;7.3;1559;8.4;1832;9.8;
Kristiansand;6644;72.7;2266;24.8;865;9.5;1041;11.4;896;9.8;614;6.7;964;10.5;
Mandal;981;62.6;236;15.1;138;8.8;158;10.1;99;6.3;202;12.9;149;9.5;
Farsund;407;41.8;108;11.1;69;7.1;46;4.7;53;5.4;40;4.1;93;9.6;
Flekkefjord;310;34.2;56;6.2;56;6.2;34;3.8;38;4.2;50;5.5;77;8.5;
Vennesla;734;50.5;181;12.5;92;6.3;126;8.7;79;5.4;134;9.2;123;8.5;
Songdalen;290;43.6;54;8.1;43;6.5;61;9.2;30;4.5;53;8.0;50;7.5;
Søgne;606;53.4;203;17.9;67;5.9;50;4.4;35;3.1;147;13.0;105;9.3;
Marnardal;83;36.0;25;10.8;..;..;14;6.1;11;4.8;16;6.9;13;5.6;
Åseral;36;38.2;7;7.4;..;..;..;..;..;..;7;7.4;10;10.6;
Audnedal;66;37.0;14;7.8;8;4.5;11;6.2;9;5.0;17;9.5;9;5.0;
Lindesnes;216;43.7;46;9.3;31;6.3;24;4.9;11;2.2;60;12.2;45;9.1;
Lyngdal;514;60.0;107;12.5;73;8.5;52;6.1;46;5.4;128;14.9;109;12.7;
Hægebostad;50;29.4;14;8.2;..;..;7;4.1;..;..;11;6.5;10;5.9;
Kvinesdal;321;53.3;53;8.8;54;9.0;44;7.3;42;7.0;70;11.6;59;9.8;
Sirdal;84;45.6;34;18.5;7;3.8;6;3.3;..;..;14;7.6;21;11.4;
Unknown municipalities, Vest-Agder;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Rogaland;26981;57.0;7951;16.8;3105;6.6;4913;10.4;2878;6.1;3166;6.7;4969;10.5;
Eigersund;739;49.6;123;8.3;90;6.0;111;7.5;82;5.5;184;12.4;150;10.1;
Sandnes;4568;59.8;1458;19.1;477;6.2;859;11.3;457;6.0;602;7.9;716;9.4;
Stavanger;9102;68.4;3486;26.2;1011;7.6;1502;11.3;899;6.8;606;4.6;1599;12.0;
Haugesund;3423;92.1;944;25.4;436;11.7;813;21.9;454;12.2;259;7.0;518;13.9;
Sokndal;81;24.3;16;4.8;13;3.9;6;1.8;..;..;14;4.2;29;8.7;
Lund;125;38.6;16;4.9;16;4.9;20;6.2;11;3.4;37;11.4;25;7.7;
Bjerkreim;123;43.5;15;5.3;13;4.6;7;2.5;7;2.5;57;20.2;26;9.2;
Hå;664;35.4;148;7.9;96;5.1;88;4.7;60;3.2;108;5.8;164;8.7;
Klepp;866;45.1;197;10.3;84;4.4;142;7.4;74;3.9;155;8.1;216;11.2;
Time;1163;62.2;345;18.5;128;6.8;178;9.5;134;7.2;139;7.4;241;12.9;
